title,posted_at,description,skills,fixed_price
Earn Up to $1600 Month Writing for Survival/Outdoors Blog | $3 per 100 words | 400 Word Trial Offer,2021-11-12T03:07:44.705Z,"Looking to pay a writer up to $400+ a week to write content for either my survival or outdoors blog at a rate of $3 per 100 words (3¢ per word). 

The first job offer will be for the first 400 words of an article and I'll hire you for the other 1000+ words if you write the first 400 good. This way I can see your writing skill and how you follow guidelines. If you accept the job I'll let you know how I like my blog articles written and you can decide if you want to accept or not.

All articles will be informational posts only.

For example, I may give you the keyword ""how to survive a bear attack"" and you'll have to write a 1,000+ word blog article on the subject. I expect you to research the topic thoroughly so you can be as helpful as possible to the reader.

Make sure to write pineapple at the beginning of your message to let me know you read the job offer all the way through.

Look forward to hearing from you! 

P.S. My total monthly spending is $1600+ but I'll be hiring multiple writers to fulfill my content needs. This means it's unlikely for you to make the total amount unless you're an exceptional writer who can write 53,000+ words a month. So I guess it's technically possible, just highly unlikely.","Blog Writing, Content Writing, SEO Writing, Blog Content",$12
Shop concept design ,2021-12-21T16:00:30.766Z,"We are a beach product suppliers from manufactures 

We will like to create our own retail shops 

i will like to list the products we sell 
and to create a cool and fresh design for the shops 
so we can start looking for franchise owners ","Retail & Consumer Goods, Graphic Design, 3D Design, 3D Modeling, Interior Design, shop design","$2,000"
English to Danish translation project,2022-01-04T11:45:57.836Z,"we are looking for experienced English to Danish translator to do an assignment of 239 words documents
deadline:5th of Jan 9:00 am (GMT+8)HONG KONG
high-quality translation is very important. avoid machine translation","English to Danish Translation, Danish, Translation, Danish to English Translation, Proofreading, English",$10
"Develop a simple Unity app - ""Grow your own team""",2021-12-10T14:02:19.490Z,"Need to develop little app on Unity ver.2019. 

Full description of the task in the attachment. Please read all clearly. More information and manuals I provide you after we discuss main moments of concept and idea of app.

Design and concept is in the attached document.
https://docs.google.com/document/d/1MrrcTu_zfMd0PAvaxQXz8TWP7bNKqHdk7WXnQ5ZjssY/edit?usp=sharing","Android, Phone, Android App Development, Unity",$30
GIS & Front end development - Interactive webmap dashboard,2021-09-26T08:04:17.924Z,"GIS / Frontend developer needed to help design and build an interactive webmap with infographics updating on a dashboard below map. 
Your tasks will be to setup the UI with the ability to toggle layers on/off, transparency etc
Layers include Value based polygons - derived from postgresql DB
Shapefiles with meta data
Point data (points of interest) 

Ideal candidate will work closely in with our Data science team developing both the frontend using API nodes and helping to develop other datasets both back-end and front-end. 

Map visualisations are key as well as overall user experience. This product will be EASY to USE and very beautifully show the data- both on the map and in the infographics dashboard. 

There are upto 20 infographics, however there will be about 5 different TYPES which can be used from any of the REACT libraries. 

A considered colour scheme and visualiation strategy for the data will be required to ensure this is easy to use and show all the data in a pretty way.

Looking for someone who can lead from the front and think big while providing results on the website every week. 

Weekly meetings with the whole team, with the aim that the prototype will be ready within 4-5 weeks.","PostgreSQL, Geographic Information System (GIS), OpenStreetMap, QGIS, GeoJSON, React, OpenLayers, React Native, Map","$2,000"
Civil and Structural Construction Documents for New Home Build in PA,2021-10-28T17:54:56.934Z,"I am a general contractor that needs a complete set of civil and structural construction documents made for a custom built residential home on a slope in the city of Pittsburgh.

An architectural engineer has drawn a floor plan and elevations that I need converted into blueprints including cross sections for the site plan, foundation, grading plan, curb cut, stormwater/environmental, and structural design all of which needs to be stamped by the appropriate parties (civil, structural).  I have the topographical survey and geotechnical report for the site already completed.  I need permit ready plans that can be submitted to the city upon the completion of Zoning board approval.  Please include in your cost or price the time for revisions as the city rarely approves on the first shot.  Also include your timeline for completion.  Site plan, grading plan are a priority for timing and submitting to zoning, structural aren't as urgent until zoning approval. 

Thank you!
Ian","Residential, 2D Design, Drafting, Construction, Autodesk AutoCAD","$8,000"
"Optimize Ubuntu Server for osm, carto, mapnik rendering ",2021-12-13T10:42:34.277Z,"We have an Ubuntu dedicated root server with
Intel Xeon E5 2630v4 10 x 2.20 GHz
256GB
2TB SSD 

So actually enough power.

We have created 10 styles on carto that need to be rendered on our server. For this we use the batch render process rendered.
As an example
render_list --map=blueprint -a -z 5 -Z 17 --num-threads=4 --max-load=9999999

Unfortunately our render process stops every time after about 15 -20 minutes.
So we need a specialist who knows Ubuntu, PostGreSql, OSM, Mapnik and Carto and may have done something like this before. 

The styles are all available and already transferred, the database has all OSM data from Europe. So it's just about optimizing the rendering process.

Translated with www.DeepL.com/Translator (free version)","Ubuntu, Linux, PostgreSQL, CartoDB, OpenStreetMap",$150
"Attract travel agents, tour operators and experts to join our platform",2021-11-05T10:36:44.572Z,"Experienced individual with contacts of travel agents, tour operators, tourist experts to contact and attract DIRECTLY travel agents to join/ sign up in our web platform.
We should attract agents from all over the world but we should begin from Cyprus, Greece, Israel, EU, Russia, and UK. 
Attached you can find a brief description of the company's services for your ease of reference.
In case the cooperation with the individual is fruitful then, the individual might continue cooperation with the Company as much as needed","Customer Service, Lead Generation, Marketing Strategy, Email Communication, Sales",$400
Business Operations,2021-12-11T12:51:17.100Z,"We're looking for the right-hand person to our Founder. This is a great opportunity to join a small yet growing company with a solid track record of success and a focus on data analytics

Responsibilities

- Sales and Marketing for the analytics service
- Hiring the right talent
- Administrative tasks of managing business accounts and calendars
- Managing employees and helping them deliver the best work
- Content management on website & social media

Qualifications

- Bachelor's degree or equivalent
- Proficient in English & MS Office Tools
- Experience in managing multiple priorities & administrative coordination
- Well-organized, detail-oriented, ability to multi-task with great follow-up skills
- Strong written and verbal communication skills","Candidate Recommendations, Compensation & Benefits, Employee Relations, Recruiting, Training, Procedure Development, Policy, Benefits, Candidate Evaluations, Compensation, Compensation Reports, Job Posts, Payroll Accounting, Terminations, Administrative Support, Operations, Strategy, Business Plan","$1,000"
Ecom Facebook Ads / Google Ads Media Buyer (No Agencies),2021-12-18T00:47:59.222Z,"- Setup & Manage Facebook Ads account
- Test for profitable cold audiences 
- Profitably run & manage retargetting campaigns
- Bi-weekly Reporting 

Budget: $500 - $1000 per Ad Account 

Must have over $100,000+ in Ad Spend","Facebook, Facebook Advertising, Retargeting",$800
